efh,Ni'ihau-Kaua'i,O'ahu,Moloka'i-Maui-Lana'i-Kaho'olawe,Hawai'i,Option
Above 95% EFH,1323.45,1486.41,5245.94,2036.21,Op2
Above 75% Principal EFH,1137.33,1186.68,4000.3,1465.23,Op2
Above 50% Core EFH,773.12,631.87,2754.65,858.55,Op2
Above 25% EFH Hotspot,266.41,233.94,747.51,159.71,Op2
Below threashold,2.3,4.61,251.1,55.87,Op2
Above 95% EFH,1333.79,1495.63,5512.09,2073.42,Op5
Above 75% Principal EFH,1330.35,1354.88,4677.66,1603.29,Op5
Above 50% Core EFH,1044.44,523.46,2466.46,540.54,Op5
Above 25% EFH Hotspot,327.6,4.61,521.68,45.42,Op5
Below threashold,0,0,0,19.82,Op5
